Property ID,Season,Start Date,End Date,Rate Multiplier
1001,Peak,2023-05-01,2023-09-30,1.2056
1001,Off,2023-10-01,2024-04-30,0.8187
1002,Peak,2023-05-01,2023-09-30,1.165
1002,Off,2023-10-01,2024-04-30,0.8179
1003,Peak,2023-05-01,2023-09-30,1.1969
1003,Off,2023-10-01,2024-04-30,0.8043
1004,Peak,2023-05-01,2023-09-30,1.1821
1004,Off,2023-10-01,2024-04-30,0.7689
1005,Peak,2023-05-01,2023-09-30,1.1676
1005,Off,2023-10-01,2024-04-30,0.7551
1006,Peak,2023-05-01,2023-09-30,1.1526
1006,Off,2023-10-01,2024-04-30,0.8128
1007,Peak,2023-05-01,2023-09-30,1.2142
1007,Off,2023-10-01,2024-04-30,0.8163
1008,Peak,2023-05-01,2023-09-30,1.2418
1008,Off,2023-10-01,2024-04-30,0.7626
1009,Peak,2023-05-01,2023-09-30,1.1633
1009,Off,2023-10-01,2024-04-30,0.7809
1010,Peak,2023-05-01,2023-09-30,1.1673
1010,Off,2023-10-01,2024-04-30,0.7863
1011,Peak,2023-05-01,2023-09-30,1.2358
1011,Off,2023-10-01,2024-04-30,0.806
1012,Peak,2023-05-01,2023-09-30,1.2315
1012,Off,2023-10-01,2024-04-30,0.8272
1013,Peak,2023-05-01,2023-09-30,1.1924
1013,Off,2023-10-01,2024-04-30,0.8361
1014,Peak,2023-05-01,2023-09-30,1.198
1014,Off,2023-10-01,2024-04-30,0.7725
1015,Peak,2023-05-01,2023-09-30,1.2497
1015,Off,2023-10-01,2024-04-30,0.8464
1016,Peak,2023-05-01,2023-09-30,1.1862
1016,Off,2023-10-01,2024-04-30,0.7665
1017,Peak,2023-05-01,2023-09-30,1.2105
1017,Off,2023-10-01,2024-04-30,0.8037
1018,Peak,2023-05-01,2023-09-30,1.2409
1018,Off,2023-10-01,2024-04-30,0.8031
1019,Peak,2023-05-01,2023-09-30,1.1727
1019,Off,2023-10-01,2024-04-30,0.8243
1020,Peak,2023-05-01,2023-09-30,1.185
1020,Off,2023-10-01,2024-04-30,0.7561
